"SYMBOL","annotation","distanceToTSS"
"FAT4","Intron (ENST00000785632.1/ENST00000785632.1, intron 1 of 2)",-69730
"EPHB6","Promoter (2-3kb)",-2836
"FER","Promoter (<=1kb)",572
"TEAD1","Promoter (<=1kb)",55
"SLIT3","Intron (ENST00000519560.6/6586, intron 1 of 35)",10900
"PARP1","Promoter (<=1kb)",-93
"GRIK3","Intron (ENST00000373091.8/2899, intron 1 of 15)",38927
"COTL1","Promoter (<=1kb)",-611
"NLGN1","Intron (ENST00000423427.1/22871, intron 1 of 1)",-55191
"STIL","Promoter (<=1kb)",-56
"ANK2","Intron (ENST00000672356.1/287, intron 1 of 43)",-6996
"ADCY5","Intron (ENST00000462833.6/111, intron 12 of 20)",-3696
"OR2B6","Exon (ENST00000406496.1/ENST00000406496.1, exon 1 of 1)",20180
"CATSPERG","Promoter (<=1kb)",-261
"SVIL","Promoter (1-2kb)",-1432
"SLIT2","Intron (ENST00000504154.6/9353, intron 4 of 36)",58783
"LAMA2","Distal Intergenic",-75259
"DAAM2","Promoter (1-2kb)",1853
"ORAI2","3' UTR",14041
"LDB2","Exon (ENST00000512345.5/9079, exon 3 of 7)",6901
"COL22A1","Intron (ENST00000341807.8/169044, intron 7 of 38)",24832
"NYNRIN","Distal Intergenic",-6358
"MKI67","Intron (ENST00000837691.1/ENST00000837691.1, intron 1 of 2)",14504
"HDGF","Intron (ENST00000491853.5/5546, intron 1 of 3)",-6273
"FLNC","Promoter (2-3kb)",2256
"CAB39L","Intron (ENST00000409308.6/81617, intron 1 of 10)",6786
"DAAM2","Exon (ENST00000633794.1/23500, exon 6 of 26)",-18044
"IGFN1","Intron (ENST00000335211.9/91156, intron 5 of 23)",6519
"MYORG","Promoter (<=1kb)",459
"FAT3","Intron (ENST00000525166.6/120114, intron 4 of 27)",-108938
"ZNF469","Distal Intergenic",-43790
"AHNAK","Promoter (2-3kb)",2179
"SPOCD1","Distal Intergenic",-18586
"TACC2","Intron (ENST00000369005.6/10579, intron 5 of 22)",-23408
"FAM222A","Promoter (<=1kb)",-107
"ESR1","Promoter (<=1kb)",0
"PNPLA5","Promoter (1-2kb)",1910
"MEG3","Promoter (<=1kb)",761
"C14orf132","Intron (ENST00000553764.1/56967, intron 2 of 2)",12426
"MAGI2","Intron (ENST00000354212.9/9863, intron 3 of 21)",-19140
"H2BC11","Distal Intergenic",40766
"ZBTB16","Promoter (<=1kb)",-60
"CES4A","Promoter (1-2kb)",1229
"TNS1","Promoter (<=1kb)",0
"LOC107987100","Intron (ENST00000778322.1/107987100, intron 2 of 2)",14399
"NUP210","Promoter (<=1kb)",403
"LAMA2","Intron (ENST00000617695.5/3908, intron 41 of 63)",-12732
"CPAMD8","Promoter (2-3kb)",-2557
"NCCRP1","Promoter (1-2kb)",1007
"MFAP4","Distal Intergenic",-10333
"SH3BGRL2","Intron (ENST00000718097.1/83699, intron 2 of 2)",-46658
"RYR3","Intron (ENST00000415757.7/6263, intron 62 of 102)",11843
"DIPK2B","Intron (ENST00000438181.5/105373191, intron 1 of 3)",-39495
"C14orf132","Intron (ENST00000553764.1/56967, intron 2 of 2)",17341
"SORBS1","Intron (ENST00000371227.8/10580, intron 13 of 31)",-7747
"DLG5","Intron (ENST00000372391.7/9231, intron 1 of 31)",12259
"ANK2","Promoter (<=1kb)",25
"ITGA8","Intron (ENST00000378076.4/8516, intron 3 of 29)",34853
"ZNF469","Intron (ENST00000767800.1/84627, intron 1 of 2)",7211
"BCRP3","Promoter (2-3kb)",2224
"SH3RF2","Intron (ENST00000359120.9/153769, intron 2 of 9)",42925
"PER2","Intron (ENST00000254657.8/8864, intron 14 of 22)",3202
"SHC3","Intron (ENST00000375835.9/53358, intron 1 of 11)",6827
"ANTXR2","Intron (ENST00000403729.7/118429, intron 8 of 16)",37713
"CYP4F22","Intron (ENST00000269703.8/126410, intron 13 of 13)",25608
"GABBR2","Intron (ENST00000259455.4/9568, intron 4 of 18)",31784
"MELK","Distal Intergenic",-4554
"SORBS1","Intron (ENST00000371227.8/10580, intron 1 of 31)",-9331
"ABR","Intron (ENST00000302538.10/29, intron 1 of 22)",8734
"ADAMTS14","Intron (ENST00000373207.2/140766, intron 2 of 21)",26819
"MCC","Intron (ENST00000302475.9/4163, intron 15 of 16)",25095
"SLIT3","Intron (ENST00000519560.6/6586, intron 34 of 35)",26009
"ADCY5","Intron (ENST00000462833.6/111, intron 15 of 20)",6259
"ATOH8","Intron (ENST00000469442.5/84913, intron 2 of 2)",8974
"CENPF","Exon (ENST00000706765.1/1063, exon 18 of 19)",3739
"MCC","Intron (ENST00000302475.9/4163, intron 9 of 16)",-7739
"SHMT2","Promoter (1-2kb)",1564
"CLSPN","Promoter (<=1kb)",-893
"AHNAK","Promoter (<=1kb)",0
"MAGI2","Promoter (1-2kb)",-1268
"PHYHIP","Promoter (<=1kb)",840
"LDLRAD1","Exon (ENST00000371360.2/388633, exon 6 of 6)",8941
"CDH13","Distal Intergenic",-4842
"MIR99AHG","Intron (ENST00000635845.2/388815, intron 2 of 5)",8471
"SYNE1","Distal Intergenic",-5241
"PLLP","Distal Intergenic",-18062
"GLYATL2","Promoter (<=1kb)",-174
"IGF1","Promoter (1-2kb)",1162
"COL7A1","Promoter (2-3kb)",2096
"CCNE1","Intron (ENST00000666573.1/ENST00000666573.1, intron 1 of 1)",-31752
"NMNAT3","Promoter (1-2kb)",-1901
"B3GNT7","Promoter (2-3kb)",-2283
"FAT3","Promoter (<=1kb)",28
"MEX3A","3' UTR",6150
"TIMELESS","Intron (ENST00000553532.6/8914, intron 1 of 28)",11543
"TNS1","Intron (ENST00000646520.1/7145, intron 18 of 32)",12123
"ARHGAP6","Intron (ENST00000495242.5/395, intron 1 of 14)",64165
"GATM","Intron (ENST00000561148.5/2628, intron 3 of 4)",3128
"CCNA2","Promoter (<=1kb)",-121
"AKAP12","Intron (ENST00000402676.7/9590, intron 3 of 4)",-3544
"MCC","Intron (ENST00000302475.9/4163, intron 14 of 16)",20167
"ILDR2","Promoter (<=1kb)",0
"ETS2","Distal Intergenic",-9922
"CREB5","Promoter (<=1kb)",-50
"FOXN1","Exon (ENST00000577936.2/8456, exon 8 of 9)",10769
"CDH13","Intron (ENST00000268613.14/1012, intron 2 of 14)",14364
"MSRB3","Intron (ENST00000355192.8/253827, intron 1 of 5)",3445
"CREB5","Intron (ENST00000396299.6/9586, intron 4 of 9)",14886
"WLS","Exon (ENST00000422584.1/ENST00000422584.1, exon 1 of 1)",-7694
"NMNAT3","Promoter (<=1kb)",14
"CREB5","Promoter (<=1kb)",0
"LTBP4","Distal Intergenic",13452
"PTPRZ1","Intron (ENST00000719876.1/ENST00000719876.1, intron 1 of 5)",-120065
"RERG","Intron (ENST00000393736.3/105369673, intron 2 of 3)",-5701
"PKD1L2","Promoter (1-2kb)",1995
"SORBS1","Intron (ENST00000371227.8/10580, intron 13 of 31)",-5778
"SVEP1","Intron (ENST00000374469.6/79987, intron 36 of 47)",-46764
"TRPC6","Distal Intergenic",-7727
"CENPF","Intron (ENST00000706765.1/1063, intron 18 of 18)",5805
"LOC105377124","Intron (ENST00000770413.1/100507098, intron 8 of 8)",-33402
"FREM1","Intron (ENST00000380880.4/158326, intron 3 of 36)",46756
"EVA1C","3' UTR",5330
"TRIB3","Intron (ENST00000615226.5/57761, intron 1 of 5)",-8683
"DPH6","Intron (ENST00000256538.9/89978, intron 5 of 8)",17270
"AKAP6","Intron (ENST00000280979.9/9472, intron 1 of 13)",36913
"KCNJ10","Intron (ENST00000639408.2/124904436, intron 1 of 3)",6252
"TNS1","Intron (ENST00000646520.1/7145, intron 18 of 32)",6622
"CENPA","Promoter (<=1kb)",0
"GLI3","Promoter (2-3kb)",2808
"STIL","Distal Intergenic",-3681
"CEACAM6","Promoter (1-2kb)",-1228
"ISG15","Promoter (<=1kb)",-125
"HMCN2","3' UTR",10026
"TSHZ2","Intron (ENST00000371497.10/128553, intron 1 of 2)",9720
"HPSE2","Intron (ENST00000404542.5/60495, intron 3 of 8)",66869
"NBEA","Intron (ENST00000686320.1/26960, intron 12 of 20)",13334
"LOC124900729","Intron (ENST00000282470.11/8404, intron 1 of 10)",-14502
"ACAN","Intron (ENST00000560601.4/176, intron 1 of 18)",10733
"DKK3","Distal Intergenic",-6577
"DHRS12","3' UTR",5151
"GLI3","Intron (ENST00000839902.1/ENST00000839902.1, intron 5 of 5)",85242
"KCNG1","Distal Intergenic",-22994
"PNPLA5","Distal Intergenic",-4293
"DPYSL5","Distal Intergenic",-8915
"LMNB2","Promoter (<=1kb)",-29
"ALDH1A2","Distal Intergenic",32903
"ACSBG1","5' UTR",-11697
"PGR","Promoter (2-3kb)",2095
"H3C10","Promoter (<=1kb)",189
"RAI2","Intron (ENST00000844922.1/105373144, intron 2 of 3)",-69590
"RERG","Promoter (<=1kb)",0
"GALNT13","Distal Intergenic",-148242
"SLC16A9","Promoter (<=1kb)",0
"DHRS12","Promoter (<=1kb)",0
"KIF14","Intron (ENST00000614960.4/9928, intron 26 of 28)",62398
"CREB5","Distal Intergenic",-53620
"PLCD1","Promoter (<=1kb)",0
"LINC01833","Distal Intergenic",29444
"TFPI","Distal Intergenic",-29096
"AOX1","Exon (ENST00000374700.7/316, exon 35 of 35)",7507
"KIF1A","3' UTR",-4808
"LIMS2","Promoter (<=1kb)",-20
"KCNQ5","Promoter (1-2kb)",-1499
"CDH13","Distal Intergenic",-22851
"PRDM16","Intron (ENST00000511072.5/63976, intron 8 of 15)",13712
"EGFLAM","Promoter (1-2kb)",-1809
"POC1A","Promoter (<=1kb)",608
"SYNE1","Intron (ENST00000423061.6/23345, intron 66 of 145)",16156
"IFFO2","Intron (ENST00000455833.7/126917, intron 1 of 8)",-9600
"ABCA9","Promoter (2-3kb)",2935
"CORO6","Promoter (1-2kb)",-1122
"SBDS","Promoter (<=1kb)",0
"MAP3K21","Distal Intergenic",101675
"BRME1","Promoter (<=1kb)",-158
"CCNE1","Distal Intergenic",38778
"PM20D1","Intron (ENST00000656763.1/284581, intron 1 of 2)",5725
"SERPINB2","Distal Intergenic",-27131
"MYOF","Intron (ENST00000737465.1/ENST00000737465.1, intron 1 of 3)",99369
"EBF1","Distal Intergenic",30523
"TRPC1","Promoter (<=1kb)",334
"ADAMTS9-AS2","Promoter (<=1kb)",210
"CHIT1","Promoter (<=1kb)",405
"ASRGL1","Distal Intergenic",-4268
"PCDH20","3' UTR",4844
"ADAMTSL2","Intron (ENST00000354484.8/9719, intron 9 of 18)",18314
"SLIT2","Intron (ENST00000504154.6/9353, intron 4 of 36)",44688
"FOXN1","Intron (ENST00000577936.2/8456, intron 1 of 8)",5870
"MEIS2","Distal Intergenic",-103487
"GRIK3","Promoter (<=1kb)",-873
"SVEP1","Intron (ENST00000374469.6/79987, intron 22 of 47)",-72889
"C5AR1","Distal Intergenic",-7187
"CCBE1","Intron (ENST00000439986.9/147372, intron 2 of 10)",19749
"KRTDAP","Exon (ENST00000810156.1/ENST00000810156.1, exon 3 of 3)",10813
"RFX2","Intron (ENST00000303657.10/5990, intron 1 of 17)",17752
"INHBA","Intron (ENST00000415848.6/285954, intron 2 of 3)",-26427
"SERPINB2","Promoter (<=1kb)",422
"ENTPD1","Intron (ENST00000453258.6/953, intron 1 of 9)",16843
"IFFO2","Distal Intergenic",-15903
"COL14A1","Intron (ENST00000498051.6/7373, intron 1 of 22)",4009
"PLA2R1","Distal Intergenic",-23151
"GABBR2","Intron (ENST00000259455.4/9568, intron 7 of 18)",-54732
"KIF2C","Promoter (<=1kb)",0
"ENTPD1","Intron (ENST00000453258.6/953, intron 1 of 9)",-13608
"MIR222HG","Intron (ENST00000780692.1/ENST00000780692.1, intron 2 of 2)",-10688
"MYLK","Intron (ENST00000360772.7/4638, intron 5 of 33)",12336
"MMRN1","Promoter (1-2kb)",-1351
"TEAD1","Promoter (2-3kb)",2212
"KIF1A","Intron (ENST00000649096.1/547, intron 1 of 46)",8457
