"seqnames","start","end","annotation","distanceToTSS","SYMBOL","GENENAME"
"chr1",54764682,54764921,"Promoter (<=1kb)",-159,"PARS2","prolyl-tRNA synthetase 2, mitochondrial"
"chr19",55062811,55063050,"Promoter (<=1kb)",26,"RDH13","retinol dehydrogenase 13"
"chr6",8435438,8435677,"Promoter (<=1kb)",0,"LOC100506207","uncharacterized LOC100506207"
"chr2",174248128,174248367,"Promoter (<=1kb)",0,"OLA1","Obg like ATPase 1"
"chr15",73927897,73928136,"Promoter (<=1kb)",0,"LOXL1-AS1","LOXL1 antisense RNA 1"
"chr11",3997531,3997770,"Promoter (1-2kb)",-1832,"STIM1","stromal interaction molecule 1"
"chr17",33872736,33872975,"Intron (ENST00000359872.6/40, intron 1 of 9)",59710,"LOC124903983","uncharacterized LOC124903983"
"chr16",527580,527819,"Promoter (<=1kb)",0,"CAPN15","calpain 15"
"chr7",2757929,2758168,"Promoter (2-3kb)",2284,"GNA12","G protein subunit alpha 12"
"chr11",269694,269933,"Intron (ENST00000835501.1/ENST00000835501.1, intron 1 of 2)",-8474,"NLRP6","NLR family pyrin domain containing 6"
"chr22",19447220,19447459,"Promoter (<=1kb)",0,"HIRA","histone cell cycle regulator"
"chr11",61963476,61963715,"3' UTR",3451,"FTH1","ferritin heavy chain 1"
"chr19",55647836,55648075,"Promoter (<=1kb)",0,"CCDC106","coiled-coil domain containing 106"
"chr18",9870013,9870252,"Distal Intergenic",13969,"RAB31","RAB31, member RAS oncogene family"
"chr5",138178325,138178564,"Promoter (<=1kb)",35,"BRD8","bromodomain containing 8"
"chr3",41962078,41962317,"Promoter (<=1kb)",0,"ULK4","unc-51 like kinase 4"
"chr22",20131015,20131254,"Promoter (<=1kb)",-550,"ZDHHC8","zDHHC palmitoyltransferase 8"
"chr12",94939766,94940005,"Intron (ENST00000552205.6/105369915, intron 3 of 5)",-14960,"LOC105369915","uncharacterized LOC105369915"
"chr11",47426521,47426760,"Promoter (<=1kb)",-48,"PSMC3","proteasome 26S subunit, ATPase 3"
"chr10",46284773,46285012,"Promoter (1-2kb)",-1333,"ANTXRL","ANTXR like"
"chr11",46615357,46615596,"Promoter (1-2kb)",1253,"HARBI1","harbinger transposase derived 1"
"chr7",132745489,132745728,"Intron (ENST00000753984.1/ENST00000753984.1, intron 1 of 1)",-7295,"LOC124900236","small nucleolar RNA SNORD46"
"chr2",70258215,70258454,"Promoter (<=1kb)",0,"PCYOX1","prenylcysteine oxidase 1"
"chr6",67364151,67364390,"Distal Intergenic",-72273,"LOC105377843","uncharacterized LOC105377843"
"chrX",18354165,18354404,"Promoter (<=1kb)",284,"SCML2","Scm polycomb group protein like 2"
"chr9",111897297,111897536,"Promoter (<=1kb)",96,"UGCG","UDP-glucose ceramide glucosyltransferase"
"chr5",80331295,80331534,"Distal Intergenic",11293,"SPZ1","spermatogenic leucine zipper 1"
"chr8",143399350,143399589,"Distal Intergenic",-8531,"MAFA-AS1","MAFA antisense RNA 1"
"chr1",26125971,26126210,"Intron (ENST00000846013.1/ENST00000846013.1, intron 1 of 1)",14134,"PDIK1L","PDLIM1 interacting kinase 1 like"
"chr3",14425769,14426008,"Intron (ENST00000610642.4/6533, intron 2 of 10)",-6662,"SLC6A6","solute carrier family 6 member 6"
"chr8",17924243,17924482,"Promoter (<=1kb)",-262,"PCM1","pericentriolar material 1"
"chr20",45860536,45860775,"Promoter (2-3kb)",2922,"ZSWIM3","zinc finger SWIM-type containing 3"
"chr22",23857818,23858057,"Promoter (<=1kb)",0,"SLC2A11","solute carrier family 2 member 11"
"chr2",24492289,24492528,"Promoter (<=1kb)",231,"NCOA1","nuclear receptor coactivator 1"
"chr16",15522323,15522562,"Promoter (<=1kb)",-898,"LOC105371102","uncharacterized LOC105371102"
"chr1",43650033,43650272,"Promoter (<=1kb)",0,"KDM4A","lysine demethylase 4A"
"chr5",80331782,80332021,"Exon (ENST00000424312.2/ENST00000424312.2, exon 1 of 1)",11780,"SPZ1","spermatogenic leucine zipper 1"
"chr15",40569113,40569352,"Promoter (<=1kb)",0,"RPUSD2","RNA pseudouridine synthase domain containing 2"
"chr19",50658419,50658658,"Promoter (<=1kb)",0,"C19orf81","chromosome 19 open reading frame 81"
"chr1",52033093,52033332,"Promoter (<=1kb)",18,"TXNDC12","thioredoxin domain containing 12"
"chr11",46700894,46701133,"Promoter (<=1kb)",0,"ZNF408","zinc finger protein 408"
"chr2",46940823,46941062,"Promoter (<=1kb)",-162,"TTC7A","tetratricopeptide repeat domain 7A"
"chr1",33182020,33182259,"Promoter (<=1kb)",0,"TRIM62","tripartite motif containing 62"
"chr22",21625942,21626181,"Distal Intergenic",3831,"YDJC","YdjC chitooligosaccharide deacetylase homolog"
"chr7",111587954,111588193,"Distal Intergenic",-25437,"IMMP2L","inner mitochondrial membrane peptidase subunit 2"
"chr22",19796501,19796740,"Intron (ENST00000329517.11/54584, intron 7 of 7)",31422,"TBX1","T-box transcription factor 1"
"chr1",228109387,228109626,"Promoter (<=1kb)",-75,"MRPL55","mitochondrial ribosomal protein L55"
"chr3",14269971,14270210,"Distal Intergenic",44654,"LOC105376958","uncharacterized LOC105376958"
"chr3",139389741,139389980,"Promoter (<=1kb)",0,"COPB2-DT","COPB2 divergent transcript"
"chr15",78299539,78299778,"Promoter (<=1kb)",0,"SKIC8","SKI8 subunit of superkiller complex"
"chr17",42107713,42107952,"Promoter (<=1kb)",0,"DHX58","DExH-box helicase 58"
"chr18",26090192,26090431,"Promoter (<=1kb)",-57,"SS18","SS18 subunit of BAF chromatin remodeling complex"
"chr6",146887494,146887733,"Intron (ENST00000766220.1/729178, intron 2 of 5)",28005,"STXBP5-AS1","STXBP5 antisense RNA 1"
"chr2",24492578,24492817,"Promoter (<=1kb)",520,"NCOA1","nuclear receptor coactivator 1"
"chr5",41926047,41926286,"Promoter (<=1kb)",726,"FBXO4","F-box protein 4"
"chr11",66002314,66002553,"Promoter (<=1kb)",0,"BANF1","barrier to autointegration nuclear assembly factor 1"
"chr17",33873058,33873297,"Intron (ENST00000359872.6/40, intron 1 of 9)",59388,"LOC124903983","uncharacterized LOC124903983"
"chr12",116336654,116336893,"Distal Intergenic",-58961,"MED13L","mediator complex subunit 13L"
"chr14",20413724,20413963,"Promoter (<=1kb)",-223,"TEP1","telomerase associated protein 1"
"chr6",31827782,31828021,"Promoter (<=1kb)",44,"HSPA1B","heat shock protein family A (Hsp70) member 1B"
"chrX",48957861,48958100,"Promoter (<=1kb)",-230,"OTUD5","OTU deubiquitinase 5"
"chr1",229555335,229555574,"Intron (ENST00000344517.5/23456, intron 1 of 12)",3133,"ABCB10","ATP binding cassette subfamily B member 10"
"chr1",220089851,220090090,"Promoter (<=1kb)",0,"BPNT1","3'(2'), 5'-bisphosphate nucleotidase 1"
"chr19",45455794,45456033,"Intron (ENST00000423698.6/2067, intron 1 of 8)",-5069,"ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit"
"chr17",37359478,37359717,"Promoter (<=1kb)",-357,"ACACA","acetyl-CoA carboxylase alpha"
"chr6",155314737,155314976,"Promoter (<=1kb)",-244,"TFB1M","transcription factor B1, mitochondrial"
"chr1_KI270713v1_random",21917,22156,"Promoter (<=1kb)",0,"LOC124905321","U1 spliceosomal RNA"
"chr3",94062972,94063211,"Promoter (<=1kb)",0,"NSUN3","NOP2/Sun RNA methyltransferase 3"
"chr3",191329230,191329469,"Promoter (<=1kb)",0,"CCDC50","coiled-coil domain containing 50"
"chr12",48198307,48198546,"Promoter (<=1kb)",0,"LOC102725258","uncharacterized LOC102725258"
"chr5",102583840,102584079,"Promoter (2-3kb)",2472,"LINC00492","long intergenic non-protein coding RNA 492"
"chr1",234724385,234724624,"Promoter (<=1kb)",-123,"LINC01132","long intergenic non-protein coding RNA 1132"
"chr6",31735379,31735618,"Promoter (<=1kb)",912,"CLIC1","chloride intracellular channel 1"
"chr22",20016114,20016353,"Promoter (<=1kb)",392,"ARVCF","ARVCF delta catenin family member"
"chr19",58380196,58380435,"Promoter (<=1kb)",587,"ZNF837","zinc finger protein 837"
"chr15",92810229,92810468,"Promoter (<=1kb)",-345,"LOC124903558","uncharacterized LOC124903558"
"chr1",6758409,6758648,"Distal Intergenic",25952,"CAMTA1-DT","CAMTA1 divergent transcript"
"chr10",133224971,133225210,"3' UTR",-5007,"UTF1","undifferentiated embryonic cell transcription factor 1"
"chr10",59873178,59873417,"Intron (ENST00000263102.7/8030, intron 1 of 8)",33139,"CCDC6","coiled-coil domain containing 6"
"chr5",163437231,163437470,"Promoter (<=1kb)",0,"LOC105377697","uncharacterized LOC105377697"
"chr22",20917860,20918099,"Promoter (<=1kb)",426,"CRKL","CRK like proto-oncogene, adaptor protein"
"chr10",68721186,68721425,"Promoter (<=1kb)",0,"CCAR1","cell division cycle and apoptosis regulator 1"
"chrX",119791642,119791881,"Promoter (<=1kb)",0,"LOC107985694","uncharacterized LOC107985694"
"chr6",7653202,7653441,"Distal Intergenic",-3226,"LOC105374906","uncharacterized LOC105374906"
"chr7",123556911,123557150,"Promoter (<=1kb)",143,"NDUFA5","NADH:ubiquinone oxidoreductase subunit A5"
"chr11",113644496,113644735,"Distal Intergenic",49002,"TMPRSS5","transmembrane serine protease 5"
"chr4",56990169,56990408,"Intron (ENST00000450656.5/5431, intron 3 of 3)",11265,"POLR2B","RNA polymerase II subunit B"
"chr1",26788239,26788478,"Promoter (<=1kb)",44,"PIGV","phosphatidylinositol glycan anchor biosynthesis class V"
"chr5",177509155,177509394,"Promoter (<=1kb)",-278,"DOK3","docking protein 3"
"chr2",38515679,38515918,"Promoter (<=1kb)",0,"LINC02613","long intergenic non-protein coding RNA 2613"
"chr19",571757,571996,"Promoter (<=1kb)",0,"BSG-AS1","BSG antisense RNA 1"
"chr19",18281314,18281553,"Promoter (<=1kb)",69,"JUND","JunD proto-oncogene, AP-1 transcription factor subunit"
"chr1",2140053,2140292,"Intron (ENST00000378567.8/5590, intron 5 of 17)",-4159,"PRKCZ","protein kinase C zeta"
"chr3",43894830,43895069,"Promoter (<=1kb)",0,"LOC107986081","uncharacterized LOC107986081"
"chr2",172084473,172084712,"Promoter (<=1kb)",-28,"DLX1","distal-less homeobox 1"
"chr6",129659898,129660137,"Intron (ENST00000368149.3/93663, intron 1 of 14)",50040,"ARHGAP18","Rho GTPase activating protein 18"
"chr12",123384270,123384509,"Promoter (<=1kb)",97,"KMT5A","lysine methyltransferase 5A"
"chr11",65613488,65613727,"Promoter (<=1kb)",494,"MAP3K11","mitogen-activated protein kinase kinase kinase 11"
"chr7",139092420,139092659,"Intron (ENST00000242351.10/56829, intron 1 of 12)",-13153,"ZC3HAV1","zinc finger CCCH-type containing, antiviral 1"
"chr5",69217948,69218187,"Promoter (<=1kb)",61,"KGD4","alpha-ketoglutarate dehydrogenase subunit 4"
"chr1",202170744,202170983,"Promoter (2-3kb)",2693,"PTPRVP","protein tyrosine phosphatase receptor type V, pseudogene"
"chr19",19192559,19192798,"Promoter (<=1kb)",0,"BORCS8","BLOC-1 related complex subunit 8"
"chr9",109012221,109012460,"Promoter (1-2kb)",1039,"CTNNAL1","catenin alpha like 1"
"chr2",170456010,170456249,"Intron (ENST00000409940.6/140469, intron 23 of 29)",-47446,"MYO3B-AS1","MYO3B antisense RNA 1"
"chr5",42812055,42812294,"Promoter (<=1kb)",-162,"SELENOP","selenoprotein P"
"chr2",43220017,43220256,"Promoter (2-3kb)",-2771,"LINC02580","long intergenic non-protein coding RNA 2580"
"chr22",41540134,41540373,"Exon (ENST00000483837.1/171568, exon 3 of 3)",4013,"POLR3H","RNA polymerase III subunit H"
"chr16",807841,808080,"Exon (ENST00000814367.1/ENST00000814367.1, exon 1 of 1)",-7107,"GNG13","G protein subunit gamma 13"
"chr1",167937566,167937805,"Promoter (<=1kb)",413,"DCAF6","DDB1 and CUL4 associated factor 6"
"chr1",227885927,227886166,"Distal Intergenic",55517,"MIR5008","microRNA 5008"
"chr21",46184419,46184658,"Promoter (<=1kb)",0,"SPATC1L","spermatogenesis and centriole associated 1 like"
"chr8",124847919,124848158,"Promoter (<=1kb)",0,"LOC105375743","uncharacterized LOC105375743"
"chr10",63268835,63269074,"Promoter (<=1kb)",0,"JMJD1C","jumonji domain containing 1C"
"chr5",42994492,42994731,"Promoter (<=1kb)",-365,"LOC105374746","uncharacterized LOC105374746"
"chr4",26782053,26782292,"Distal Intergenic",-5626,"TBC1D19","TBC1 domain family member 19"
"chr5",39074002,39074241,"Promoter (<=1kb)",148,"RICTOR","RPTOR independent companion of MTOR complex 2"
"chr5",32444828,32445067,"Promoter (<=1kb)",-88,"ZFR","zinc finger RNA binding protein"
"chr9",95492126,95492365,"Promoter (2-3kb)",2036,"PTCH1","patched 1"
"chr7",131109782,131110021,"Promoter (<=1kb)",0,"LINC-PINT","long intergenic non-protein coding RNA, p53 induced transcript"
"chr1",35861455,35861694,"Distal Intergenic",7967,"AGO4","argonaute RISC component 4"
"chr12",96035937,96036176,"Promoter (<=1kb)",-296,"LTA4H","leukotriene A4 hydrolase"
"chr22",19957804,19958043,"Intron (ENST00000676678.1/1312, intron 1 of 5)",4017,"COMT","catechol-O-methyltransferase"
"chr7",111588222,111588461,"Distal Intergenic",-25705,"IMMP2L","inner mitochondrial membrane peptidase subunit 2"
"chr1",46247020,46247259,"Promoter (<=1kb)",0,"RAD54L","RAD54 like"
"chr20",32404155,32404394,"Intron (ENST00000651418.1/171023, intron 4 of 13)",-22678,"ASXL1","ASXL transcriptional regulator 1"
"chr17",45317026,45317265,"Promoter (<=1kb)",0,"MAP3K14","mitogen-activated protein kinase kinase kinase 14"
"chr6",16266017,16266256,"Exon (ENST00000778561.1/ENST00000778561.1, exon 1 of 2)",8044,"GMPR","guanosine monophosphate reductase"
"chr5",140564437,140564676,"Promoter (<=1kb)",0,"APBB3","amyloid beta precursor protein binding family B member 3"
"chr2",46940623,46940862,"Promoter (<=1kb)",-362,"TTC7A","tetratricopeptide repeat domain 7A"
"chr2",101252401,101252640,"Promoter (<=1kb)",74,"LOC124906053","uncharacterized LOC124906053"
"chr1",23743444,23743683,"Promoter (<=1kb)",0,"ELOA","elongin A"
"chr8",77600846,77601085,"Distal Intergenic",155640,"LOC102724874","uncharacterized LOC102724874"
"chr9",128421070,128421309,"Promoter (<=1kb)",213,"CERCAM","cerebral endothelial cell adhesion molecule"
"chr1",93346525,93346764,"Promoter (<=1kb)",-500,"CCDC18-AS1","CCDC18 antisense RNA 1"
"chr19",19060352,19060591,"Downstream (<=300bp)",-3403,"SLC25A42","solute carrier family 25 member 42"
"chr1",156114172,156114411,"Promoter (<=1kb)",0,"LMNA","lamin A/C"
"chr6",146887286,146887525,"Intron (ENST00000766220.1/729178, intron 2 of 5)",28213,"STXBP5-AS1","STXBP5 antisense RNA 1"
"chr6",32972262,32972501,"Promoter (<=1kb)",45,"BRD2","bromodomain containing 2"
"chr5",95711821,95712060,"Promoter (1-2kb)",-1462,"RHOBTB3","Rho related BTB domain containing 3"
"chr14",20413517,20413756,"Promoter (<=1kb)",-16,"TEP1","telomerase associated protein 1"
"chr1",175076277,175076516,"Promoter (<=1kb)",-903,"TNN","tenascin N"
"chr22",16808337,16808576,"Intron (ENST00000331428.5/150165, intron 1 of 3)",13123,"XKR3","XK related 3"
"chr1",46878404,46878643,"Intron (ENST00000505841.5/163720, intron 6 of 11)",21791,"CYP4Z2P","cytochrome P450 family 4 subfamily Z member 2, pseudogene"
"chr6",10747536,10747775,"Promoter (<=1kb)",0,"TMEM14B-DT","TMEM14B divergent transcript"
"chr18",811552,811791,"Promoter (<=1kb)",451,"YES1","YES proto-oncogene 1, Src family tyrosine kinase"
"chr2",58241365,58241604,"Promoter (<=1kb)",0,"FANCL","FA complementation group L"
"chr9",120843552,120843791,"Promoter (<=1kb)",278,"CUTALP","cutA divalent cation tolerance like, pseudogene"
"chr6",4957749,4957988,"Distal Intergenic",29054,"CDYL","chromodomain Y like"
"chr19",572142,572381,"Promoter (<=1kb)",0,"BSG-AS1","BSG antisense RNA 1"
"chr1",26126494,26126733,"Distal Intergenic",14657,"PDIK1L","PDLIM1 interacting kinase 1 like"
"chr1",70314998,70315237,"Promoter (1-2kb)",-1208,"ANKRD13C","ankyrin repeat domain 13C"
"chr19",33177050,33177289,"Promoter (<=1kb)",-314,"LRP3","LDL receptor related protein 3"
"chr17",75517699,75517938,"Promoter (<=1kb)",729,"TSEN54","tRNA splicing endonuclease subunit 54"
"chr1",11788033,11788272,"Promoter (<=1kb)",221,"C1orf167","chromosome 1 open reading frame 167"
"chr5",177006672,177006911,"Promoter (<=1kb)",0,"UIMC1","ubiquitin interaction motif containing 1"
"chr1",206557955,206558194,"Promoter (<=1kb)",394,"RASSF5","Ras association domain family member 5"
"chr16",12803534,12803773,"Promoter (<=1kb)",71,"CPPED1","calcineurin like phosphoesterase domain containing 1"
"chr17",77323263,77323502,"Promoter (<=1kb)",-204,"SEPTIN9","septin 9"
"chr22",19713229,19713468,"Promoter (<=1kb)",806,"LOC124905079","uncharacterized LOC124905079"
"chr11",17353660,17353899,"Promoter (1-2kb)",1761,"NCR3LG1","natural killer cell cytotoxicity receptor 3 ligand 1"
"chr5",95731256,95731495,"Promoter (<=1kb)",0,"RHOBTB3","Rho related BTB domain containing 3"
"chr22",23063321,23063560,"Intron (ENST00000216036.9/27156, intron 5 of 6)",-6959,"GNAZ","G protein subunit alpha z"
"chr4",1869971,1870210,"Promoter (1-2kb)",-1183,"NSD2","nuclear receptor binding SET domain protein 2"
"chr4",75514644,75514883,"Promoter (<=1kb)",0,"RCHY1","ring finger and CHY zinc finger domain containing 1"
"chr22",21002264,21002503,"Promoter (<=1kb)",56,"THAP7-AS1","THAP7 antisense RNA 1"
"chr7",150318014,150318253,"Intron (ENST00000478393.5/653857, intron 1 of 5)",-4386,"LRRC61","leucine rich repeat containing 61"
"chr8",1763002,1763241,"Promoter (<=1kb)",87,"CLN8-AS1","CLN8 antisense RNA 1"
"chr22",21971491,21971730,"Promoter (<=1kb)",0,"TOP3B","DNA topoisomerase III beta"
"chr19",55063186,55063425,"Promoter (<=1kb)",0,"RDH13","retinol dehydrogenase 13"
"chr7",120950814,120951053,"Promoter (<=1kb)",19,"ING3","inhibitor of growth family member 3"
"chr2",229980969,229981208,"Intron (ENST00000373652.7/130888, intron 3 of 4)",-22224,"LOC105373924","uncharacterized LOC105373924"
"chr11",32893595,32893834,"Promoter (<=1kb)",335,"QSER1","glutamine and serine rich 1"
"chr13",114222638,114222877,"3' UTR",-12010,"CDC16","cell division cycle 16"
"chr19",40663378,40663617,"Distal Intergenic",19238,"NUMBL","NUMB like endocytic adaptor protein"
"chr2",54279436,54279675,"Intron (ENST00000607452.6/98, intron 6 of 6)",-23207,"TSPYL6","TSPY like 6"
"chr7",32494819,32495058,"Promoter (<=1kb)",191,"LSM5","LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"
"chr5",43513507,43513746,"Promoter (1-2kb)",1278,"C5orf34","chromosome 5 open reading frame 34"
"chr1",149887823,149888062,"Promoter (<=1kb)",0,"H2AC21","H2A clustered histone 21"
"chr1",9753181,9753420,"Promoter (1-2kb)",-1600,"CLSTN1","calsyntenin 1"
"chr17",40402692,40402931,"Exon (ENST00000423485.6/7153, exon 20 of 35)",-3431,"TOP2A","DNA topoisomerase II alpha"
"chr16",67926545,67926784,"Intron (ENST00000291041.6/5681, intron 2 of 2)",4701,"CTRL","chymotrypsin like"
"chr6",49732536,49732775,"Intron (ENST00000653295.1/101927020, intron 1 of 5)",11611,"CRISP3","cysteine rich secretory protein 3"
"chr1",165827244,165827483,"Promoter (<=1kb)",-131,"UCK2","uridine-cytidine kinase 2"
"chr8",23546991,23547230,"Intron (ENST00000417331.6/51312, intron 1 of 3)",5304,"SLC25A37","solute carrier family 25 member 37"
"chr1",204037044,204037283,"Exon (ENST00000367207.7/284573, exon 3 of 5)",-3091,"LINC00303","long intergenic non-protein coding RNA 303"
"chr13",91245266,91245505,"Promoter (1-2kb)",1855,"LOC105370314","uncharacterized LOC105370314"
"chr6",167041359,167041598,"3' UTR",9633,"CEP43","centrosomal protein 43"
"chr3",184377093,184377332,"Promoter (<=1kb)",808,"THPO","thrombopoietin"
"chr17",42964423,42964662,"Promoter (<=1kb)",0,"AARSD1","alanyl-tRNA synthetase domain containing 1"
"chr1",204507776,204508015,"Distal Intergenic",-8364,"MDM4","MDM4 regulator of p53"
"chr1",3775361,3775600,"Promoter (2-3kb)",2536,"SMIM1","small integral membrane protein 1 (Vel blood group)"
"chr17",75516371,75516610,"Promoter (<=1kb)",0,"TSEN54","tRNA splicing endonuclease subunit 54"
"chr1",230071444,230071683,"Intron (ENST00000494106.1/2590, intron 1 of 6)",4185,"GALNT2","polypeptide N-acetylgalactosaminyltransferase 2"
"chr2",58046643,58046882,"Promoter (<=1kb)",0,"LOC107984043","formin-2-like"
"chr1",112714987,112715226,"Promoter (<=1kb)",29,"PPM1J","protein phosphatase, Mg2+/Mn2+ dependent 1J"
"chr13",91117288,91117527,"Intron (ENST00000792187.1/105370312, intron 1 of 3)",5597,"LOC105370312","uncharacterized LOC105370312"
"chr1",202018605,202018844,"Distal Intergenic",4827,"ELF3","E74 like ETS transcription factor 3"
"chr19",51002633,51002872,"Promoter (<=1kb)",0,"KLK8","kallikrein related peptidase 8"
"chr3",9749893,9750132,"Promoter (<=1kb)",0,"OGG1","8-oxoguanine DNA glycosylase"
"chr10",78972903,78973142,"Intron (ENST00000838110.1/283050, intron 2 of 4)",4773,"ZMIZ1-AS1","ZMIZ1 antisense RNA 1"
"chr17",76353818,76354057,"Promoter (<=1kb)",0,"PRPSAP1","phosphoribosyl pyrophosphate synthetase associated protein 1"
"chr7",66075555,66075794,"Promoter (<=1kb)",-6,"ASL","argininosuccinate lyase"
"chr6",15017219,15017458,"Intron (ENST00000629853.3/105374945, intron 1 of 3)",4418,"LOC105374945","uncharacterized LOC105374945"
"chr3",44236447,44236686,"Distal Intergenic",-5200,"TOPAZ1","testis and ovary specific TOPAZ 1"
"chr2",183149070,183149309,"Intron (ENST00000409798.5/129401, intron 5 of 9)",-17933,"LOC124906103","uncharacterized LOC124906103"
"chr7",140322889,140323128,"Intron (ENST00000477571.5/84255, intron 13 of 15)",14697,"SLC37A3","solute carrier family 37 member 3"
"chr12",45727384,45727623,"Promoter (<=1kb)",0,"LOC105369743","uncharacterized LOC105369743"
"chr9",130921576,130921815,"Intron (ENST00000448616.5/84929, intron 5 of 7)",8164,"FIBCD1","fibrinogen C domain containing 1"
"chr1",201885547,201885786,"Promoter (2-3kb)",-2894,"SHISA4","shisa family member 4"
"chr20",33674267,33674506,"Promoter (<=1kb)",0,"NECAB3","N-terminal EF-hand calcium binding protein 3"
"chr5",90409456,90409695,"Promoter (<=1kb)",37,"CETN3","centrin 3"
"chr1",11930005,11930244,"Distal Intergenic",-3577,"KIAA2013","KIAA2013"
"chr1",246113656,246113895,"Exon (ENST00000443763.2/101928089, exon 4 of 4)",5019,"SMYD3-AS1","SMYD3 antisense RNA 1"
"chr5",124649777,124650016,"Intron (ENST00000513986.2/57507, intron 3 of 9)",-5440,"ZNF608","zinc finger protein 608"
"chr3",184174420,184174659,"Promoter (<=1kb)",-30,"AP2M1","adaptor related protein complex 2 subunit mu 1"
"chr1",181088588,181088827,"Promoter (<=1kb)",0,"LOC124904465","uncharacterized LOC124904465"
"chr19",57351310,57351549,"Promoter (<=1kb)",0,"ZNF304","zinc finger protein 304"
"chr1",40311300,40311539,"Exon (ENST00000372748.8/1298, exon 10 of 32)",3899,"COL9A2","collagen type IX alpha 2 chain"
"chr3",41961842,41962081,"Promoter (<=1kb)",0,"ULK4","unc-51 like kinase 4"
"chr13",90378325,90378564,"Distal Intergenic",90914,"LOC105370310","uncharacterized LOC105370310"
